activity_id,feature_num,feature_name,score_0_4
1,1,"Content objectives clearly defined, displayed, reviewed",1
1,2,"Language objectives clearly defined, displayed, reviewed",1
1,3,Content concepts age-appropriate,2
1,4,Supplementary materials used to a high degree,3
1,5,Content adaptation to all proficiency levels,0
1,6,Meaningful activities integrating concepts and language,3
1,7,Concepts linked to background experiences,0
1,8,Past learning explicitly linked,1
1,9,Key vocabulary emphasized,0
1,10,Speech appropriate for proficiency [partial-recovery],1
1,11,Explanation of academic tasks clear,1
1,12,Variety of techniques to make content clear,1
1,13,Opportunities to use learning strategies,1
1,14,Scaffolding techniques consistently used,1
1,15,Higher-order thinking promoted,0
1,16,Frequent opportunities for interaction,1
1,17,Grouping configurations support objectives,0
1,18,Sufficient wait time [excluded],0
1,19,Opportunities to clarify in L1,0
1,20,Hands-on materials/manipulatives,1
1,21,Application activities for content + language,0
1,22,Activities integrate all four language skills,3
1,23,Content objectives supported by delivery [partial-recovery],0
1,24,Language objectives supported by delivery [partial-recovery],0
1,25,Students engaged 90-100% [observation-dependent],3
1,26,Pacing appropriate [partial-recovery],0
1,27,Comprehensive review of key vocabulary,0
1,28,Comprehensive review of key content concepts,0
1,29,Regular feedback to students [partial-recovery],1
1,30,Assessment of comprehension throughout,0
2,1,"Content objectives clearly defined, displayed, reviewed",1
2,2,"Language objectives clearly defined, displayed, reviewed",1
2,3,Content concepts age-appropriate,3
2,4,Supplementary materials used to a high degree,2
2,5,Content adaptation to all proficiency levels,0
2,6,Meaningful activities integrating concepts and language,2
2,7,Concepts linked to background experiences,3
2,8,Past learning explicitly linked,0
2,9,Key vocabulary emphasized,2
2,10,Speech appropriate for proficiency [partial-recovery],1
2,11,Explanation of academic tasks clear,3
2,12,Variety of techniques to make content clear,2
2,13,Opportunities to use learning strategies,0
2,14,Scaffolding techniques consistently used,2
2,15,Higher-order thinking promoted,1
2,16,Frequent opportunities for interaction,1
2,17,Grouping configurations support objectives,0
2,18,Sufficient wait time [excluded],0
2,19,Opportunities to clarify in L1,0
2,20,Hands-on materials/manipulatives,3
2,21,Application activities for content + language,0
2,22,Activities integrate all four language skills,2
2,23,Content objectives supported by delivery [partial-recovery],0
2,24,Language objectives supported by delivery [partial-recovery],0
2,25,Students engaged 90-100% [observation-dependent],2
2,26,Pacing appropriate [partial-recovery],0
2,27,Comprehensive review of key vocabulary,1
2,28,Comprehensive review of key content concepts,0
2,29,Regular feedback to students [partial-recovery],0
2,30,Assessment of comprehension throughout,1
3,1,"Content objectives clearly defined, displayed, reviewed",2
3,2,"Language objectives clearly defined, displayed, reviewed",0
3,3,Content concepts age-appropriate,4
3,4,Supplementary materials used to a high degree,3
3,5,Content adaptation to all proficiency levels,0
3,6,Meaningful activities integrating concepts and language,3
3,7,Concepts linked to background experiences,0
3,8,Past learning explicitly linked,0
3,9,Key vocabulary emphasized,0
3,10,Speech appropriate for proficiency [partial-recovery],0
3,11,Explanation of academic tasks clear,1
3,12,Variety of techniques to make content clear,4
3,13,Opportunities to use learning strategies,1
3,14,Scaffolding techniques consistently used,1
3,15,Higher-order thinking promoted,2
